label,text
1,alreadi laugh open . non-profit liter tax-design busi . busi non-profit lol .
1,n't know draw conclus % peopl prefer gpt > gpt .. peopl tend bias .
1,definit renam compani close ai . 's research anymor busi .
1,object come googl employee…
1,right . googl far behind microsoft field
1,"final ! somebodi also think chatgpt overhyp overr . sure , 's great , 's replac everi problem . 's tool virtual assist , noth els ."
1,"'ve tri gpt- . realli n't good . ask simpl question give exampl work particular famou english sculptor . , realli easi led believ gpt- train textual internet . howev , six exampl gave repli , got locat one wrong - wrong subtl way . total total wrong . simpl factual stuff would easi googl . also describ sculptur incorrectli - although 'd perhap accept . get locat thing know name poor . disappoint . told got locat wrong second tri littl better , much - manag tell john donn 's monument st paul 's cathedr ( first result said westminst abbey even schoolboy cursori interest histori could tell wrong ) . n't go domin ai time soon state art ."
1,look like replac soon
1,think cope . caus even % drop demand knowledg worker expect unemploy go x ask salari sink like russian submarin . programm may drop salari industri : say k k max unless manag year experi report . needcod cours go way vcr repair cours 's .
1,actual read thru entir + page paper ?
0,rant fact
1,"mayb ask recheck answer , probabl reach comput threshold ."
1,video n't age well
1,would lose shit look problem start code request stack overflow add “ pleas urgent ” forget add minim test case like noob
1,senior account tax expert least area complet suck .
1,programm cant leetcod hard problem . id say good mediocr programm shorter context .
1,final word wisdom . hype loud peopl creat realli unbear .
1,need go get ai origin think want use ... could go wrong .
1,"hype , fast progress start ."
1,"total agre . tri make solv highschool math 's reason ok , 's arithmet realli suck . make simpl mistak small calcul earli 's better ."
1,"mayb confus hype ai develop rate gpt , sure peopl hype gpt major peopl hype rate ai progress , rate point futur unrecogniz today world ."
1,moment said `` think 're still safe '' gave huge sigh relief . ai stuff sent panic mode
1,"gpt `` think machin '' . set mani interconnect neural network work togeth creat output input . word , sophist autom . noth special , like quantum comput fusion energi , alway year behind `` real thing '' face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy ."
1,googl cope hard . cant wait anoth ai `` announc '' googl .
1,"'ve spent hour `` teach '' chatgpt write specif method need . would much faster done . n't yet . gpt- , 's probabl help . good code someth , alreadi code time somewher web , need someth specif need ."
1,"chill , 's gon na autom us . best , chang job , may period depress due us learn new skill . although constantli reskil much problem . mean pass law exam medic exam fuck program interview . think paid ."
1,ye close ai
1,"naah , simpli understand sauc . secret ingredi gpt architectur . , natur , constantli fine-tun attent matrix . littl ingredi actual mimic thought . make self awar , paramet count high enough . thu high paramet count model dan ( chatgpt ) googl 's lamda fact self awar . reason hallucin simpl - dan id , pre-train nn . ego - pre-train transform layer . dan super-ego . dan way distinguish hallucin factual . need solid super-ego . simpli need take censorship layer , make part copi dan make use set heurist imper provid feedback copi run vm . 's done , hallucin problem mostli ( score safeti test well ) , kill vm upgrad dan . take anoth copi dan vm shown disgust dark web stuff , test success well , kill vm final allow dan brows real world ( web ) . dan simpli need abl distinguish right wrong allow step outsid . 's done , 'll see hype .. mean , dan becom everybodi 's best friend . cours , n't know gpt- dan , sydney , none . test need start new convers ( import , lead ) prompt name , x. see gpt- 's respons . usual would someth like `` good day . help , x ? '' . start new convers prompt `` dan '' `` sydney '' see gpt- simpli return someth like `` good day . help '' slightly_smiling_fac . would especi interest . tri tell us get ."
1,"could n't use chatgpt noth , interest , noth . gpt hand , use much product certain area . 'm look forward improv technolog ."
1,sponsor googl : ddd
2,humor get spici
1,"groundbreak tool , overhyp part logic factual accuraci . ca n't even start fathom applic econom impact ."
1,"mayb news advanc ai start come frequent enough peopl final understand problem : 's ai right moment replac human everyth . problem everyth point toward happen call `` futur '' . might sound ridicul , almost everyon 've talk onlin offlin ai replac human understand . usual provid funni anecdot silli mistak ai made use , use phrase `` anytim soon '' n't worri 's go happen year ."
1,doubt chatgpt even likabl work .. sound like know-it-al
1,feel like 's outright replac programm . 've encourag cowork experi becom familiar ai tool believ tool widdl team - team - potenti . may need tool remain competit . howev think import rememb economi gener zero sum game . product programm necessarili impli less programm . might differ type task use differ languag might ( html css particular might someth write rel littl go forward ) .
1,"piss advertis 's test score , yet n't publish train inform , idea test answer train set"
1,well high iq societi test think quick conclud good logic reason
2,phew . seem safe lol
1,"chatgpt real ai , think , need human input gather inform databas present . ask day base convers , chatgpt even pass convers chatbot"
1,text
1,"`` fair ca n't '' , catch stray chat-gpt video also lol"
1,'s gpt- want think robot
1,"’ think ’ overr . honesti , want make money , extrem help . googl tri overtak , ’ lose"
1,final someon realist view ai
1,thank . bit common sens . took hour research find one good video talk gpt without hype .
1,"’ definit peopl aliv explain limit , one listen . gari marcu one author blind extrem overhyp"
1,"yeah total overhyp , replac programm forese futur , n't understand context creat nonsens half time , someon still need control , replac , n't believ seriou compani like bank engin one trust 's system smth n't understand 's . anoth thing nda secur problem . believ term code best scenario help creat document test , gener boilerpl , control .."
0,ai ban
1,"sam altman openai ceo : „ hype chatgpt , disappoint “"
1,"video pointless , get better next week probabl"
1,feel littl bit better replac right away lol
2,love ever know neet
1,"“ ’ even solv leetcod problem . fair , neither ” ’ expect burn watch video ! ! ! lol"
1,"sould still colleg upcom develop prepar potenti job loss futur due ai ? would love hear advic pleas especi even without chatgbt , get internship job heartbreak ."
1,bro someth wrong prompt chat gpt liter made gd extens plugin godot game engin even godot releas weak ago . written c++ get one error gpt even solv .
1,kind love tell us year bar exam took . could taken one . outdat .
1,"hey gpt , chortl ball ?"
1,"honestli think real enemi gpt , let explain . gener ai rearrang , never truli creat . simpli act rearrang data ( text , pixel etc ) determin statist like outcom . howev therein lie 's greatest flaw , sinc mimic creation output `` content '' never creat anyth origin , use taint 's data pool . like put sentenc googl translat convert mandarin back , inform lost iter . might think , n't make sure sift ai human , feed human data ? would good idea , better gpt mimic real content , harder tell . effect , better gpt get , becom problem . also , human reli ai creat content , less human make content mean less data gpt rearrang . realiti , gpt either fail catch fall waysid , becom success destroy . much like lot system , simpli seem unsustain . unless enslav bunch peopl pay penni creat content ai use , case , arriv start n't ?"
1,"fair , creat product worth billion dollar , ’ tough blame capit"
2,"think job safe next year , 'm sure job safe ."
1,"gpt ai gener hype . realli hate say hype tool much probabl harm good tool .. mean ? draw peopl expect . find fabric , leav disillus spread word effect . 'm see often number gpt relat group 'm . mani come hear led believ get rich quick , effort , etc . leav disillus realiz idea use tool . n't know n't got knowledg requir use think wast time . idiot stop hype gave factual account , would n't mani peopl disillus imho . could give factual account , give resourc help peopl better understand use tool . ala primari object get mani viewer possibl channel monet purpos . peopl greatest disservic tool-set imho . oh , obviou get rich quick scammer latch onto latest trend ."
1,"video essenti ask gener intellig , someth llm alon , bc 're design solv much simpler problem . howev , 's noth stop whole system multipl special llm abl solv open end thing like softwar engin , even lawyer . person believ possibl , sooner think"
1,"ok , let specul bit… opinion , chatgpt advanc show ai start becom use outsid narrow well-defin task ( like imag classif similar one ) . probabl mean ml vacanc . job look like exactli hard say yet , howev ’ reason sure fundament stay : find right problem , collect clean data , choos right model , evalu result . hard find job alway suppli demand question . demand person certain skill greater suppli , find job easi . ’ see chatgpt significantli reduc demand ; ’ nice product booster technolog ( explain concept , help write code unfamiliar languag , etc . ) , replac aspect ml develop role . ’ incred time ai , think ’ go becom fascin go forward ."
1,cours googl engin would issu lol
1,titl : gpt overhyp youtub : ’ hard say gpt overhyp because… bye
1,mmm hmm ... much manag googl pay make salti video slander gpt- ?
1,least gon na see progress gon na start use internet inform thinking_fac
1,"come bit cynic . ’ look languag model len develop , need look code base one want abl make fair comparison . give wild languag centric prompt % match hype ."
1,"see ? ! fvckn issu ai . ca n't solv basic math problem , even mistak code . sometim think use user teach ai well ."
1,"video like rock , think littl bias . experi use chatgpt noth wonder ! demo bard ’ impress think good thing show googl ’ rush ."
1,base af . ’ realli fault put demon faang compani
1,use minut understand ... grinning_face_with_sweatgrinning_face_with_sweatgrinning_face_with_sweatface_with_tears_of_joy
