label,text
1,text
1,"long ass time sinc upload channel , know . even though 've upload second channel , miss guy . loudly_crying_fac roadmap : http : //neetcode.io/roadmap quiz featur : http : //neetcode.io/practic second channel : http : //youtube.com/ @ neetcodeio"
1,whole scienc pass interview . job . pass interview . n't tell ? 'm fed bs kept aliv tech compani . ( 'm senior softwar engin big tech compani )
1,"solv leetcod exercis + hackerrank ( uglier satisfiy leetcod 's ) . nightmar dp problem , consid dynam program toughest topic `` found trick '' . solv lot dp problem start see pattern common way solv kind problem . imagin solv leetcod exercis ! even amount solv problem , would n't feel prepar enough . pd : check book `` dynam program code interview '' consid dp nemesi well !"
1,"know pepe frog co-opt racist , ’ ? ’ watch video anymor assum must part alt-right ."
1,"imagin would abl build spend amount time enthusiasm real applic develop real research . mean ok success youtub , probabl worth ."
1,"got hype ! roadmap instantli remind skill tree rpg game want max . start code , month ago csx , use game analog learn code chang everyth ! instant dopamin triggerface_exh never tri leetcod remind xp farmingface_with_tears_of_joy"
1,look like mental hospit lletcod problem )
1,pov ca n't solv straight bat go solut
1,"hi ! 've question , could leetcod exercis instanc vs code later move solut leetcod must solv leetcod page sinc 's similar real job interview ? 'd would quit grate someon could answer"
1,"burst balloon mcm variant hard , trust , 're beginn give whole day understand mcm next day abl hard problem . .burst balloon .scrambl string .min cost merg stone .min cost cut stick ."
1,"'s inspir .... ever look solut ? ( sometim , solut final pass , howev within lower % perform )"
1,readi get start leetcod ? start know noth ?
2,"video give hope strategi , thank ! !"
1,"'ve taken data structur algorithm , want start get readi ds & ii . n't want forget 've learn , think go great way appli taught . updat three month see progress go . siri go remind everi three month . # week feel way comfort array make object ."
1,’ use js python start ?
1,video convinc start leetcod problem point . thank
1,"want becom expert c++ refus use python solv leetcod problem , use c++"
1,"exactli like part solv medium question ca n't figur trick first time , exactli like solv question time ."
1,"said leetcod problem help get internship bank , ? develop masteri problem , market trait potenti employ ?"
0,use whiteboard problem ?
