label,text
1,still n't know fire .
1,"never realli question fire , kinda ignor , ’ matter , could ’ realiz ’ scienc , ’ ask question"
1,`` fire flame '' -master oogway
1,mil peopl watch : * caveman nois *
0,fire ? flame
0,fire beauti art deadli villain
0,fire ? face_with_raised_eyebrow
1,fire mean feel free get inspir chimost scientist
1,"fire ? babi n't burn , n't burn , ."
1,teacher teach us : us : unamused_fac youtub teach us : us : astonished_fac
1,fire flame . flame someth burn hot . burn pain . hotel ? trivago .
0,fire ? fire
1,"see blog know fire safeti , get pdf also topic name : - basic fire http : //safetyabhinay.blogspot.com///the-basics-of-fire.html"
1,"ye , detail answer rock !"
2,"well articul video , intrigu educ , respect"
1,know ? univers possibl one candl flame god
0,someon ask fire 'll say `` fire fire '' .
1,"? ? give ? 'm profession scientist know sever error video . make stuff , ? foreign diseduc campaign ?"
1,answer titl one word . hot
1,knew almost noth beyond basic aspect taught . amaz fire truli work !
1,thing help put marijuana lung
1,whoa n't know flame hollow . 's trippi .
2,recommend week watch
2,whoever ask ’ ok smart
1,fire someth burn hot
2,liter yt recommend yr like serious
1,know els fire heaven ep j cole
1,pop everyon ’ recommend year ?
1,gwyn watchlist start age fire
1,need fuel fire put gasolin vehicl engin .
1,fire 's word ? burn
2,"“ fire burn thing ” - world ’ smartest person ,"
1,light match stick liquid match . liquid water wood oil ?
0,fire flame carri
1,wtf video sound sync video ?
1,. million peopl : idk
1,fire share everi major characterist life besid compris cell ...
1,everyon alway ask `` fire '' one ever bother ask * * fire
1,"'ve wonder everi often year , thank answer question ! 's fascin ^^"
1,... – ’ word ? buuuuuurn~
1,'s name music end
0,fire doin ?
1,real answer .. 's lit .
1,whole matpat famili talk scienc dine tabl ?
1,"still n't understand light photon , specificli heaten air releas photon ? come ? photon atom core , happen photon leav atom ? thank"
1,watch video wan na commit arson enjoy watch bigger fire
1,overdid marshmallow
1,"babi n't burn n't burn , ..."
1,sooo ... uhmm .. 's fire ? thinking_fac
2,got recommend . appar need get smart .
1,"fire spark fuel , lightn gener fuel , aurora boreali pull togeth fade ."
0,`` fire ? '' fire throw set fire .
1,"fantast video ! strang , think fire scienc professor colleg , yesterday ( , n't type anyth fire laptop ) . one time mentor first engin internship describ `` n't know much n't know graduat colleg ''"
1,"fire type substanc obtain physic mean , creat combin spark ga , got right ?"
1,"wait , sun still burn no-oxygen ?"
1,* burn hous see fire *
1,algorithm recommend lot recent
1,fire portal anoth dimens .
0,fire ? solid ? liquid ? ga ?
2,love itfireflam onfir
2,spoon trick like exploding_head
1,red flower ..
1,n't know end got emot tear bit lmao
1,’ got temperatur wrong man . blue flame actual coldest . yellow top way hotter slight actual see hottest .
1,troll scienc : surround fire ? go insid . hollow yo wont burn .
1,bruh look sound like matpat ?
1,scienc teacher ! !
1,fire = energi - give light heat . bs confus . keep simpl mate .
1,yo titl kinda fire
1,fire ? 's thing happen boss walk flap porn laptop . lol
1,thought bottom flame coolest tip hottest
0,fire ur mom : )
0,fire water n't
1,.m peopl : thinking_fac fire ?
0,water fire ?
2,"great video , got ta love vsauc influenc !"
1,fire actual colour air hot .
1,see came timelin time . okay fire ?
1,alway wonder fire actual beyond recip learn chemistri . thank !
1,trick dope unexpect drum roll tho exploding_head
1,everyth know wrong . 's alway wait someon describ stuff better . like einstein newton .
0,`` fire '' : fire solidthumbs_up
1,"`` fire ? '' dark soul player : yeah , that long stori"
0,’ wonder fire yr
0,"’ , grade anymor pl stop dont recommend"
1,`` fire '' - probabl caveman dinosaur age
1,"alway ask `` fire '' , never `` fire ''"
1,good edit . year ago
1,lmfao one know fire also n't time like .... pop air
1,`` drug '' ey cover vesrion .
1,happen video recommend least week
1,’ hot
1,sport softbal soon enjoy winking_fac post beauti shop shopping_cart child babi christma friend woman_and_man_holding_hand christma ghost ghost christma christmas_tre day beauti christma
1,well explain pyromaniac brother decid burn field behind famili hous . get !
2,"video good . like , goe deep stuff . great video ."
0,babi ’ hurt ’ hurt
1,"fire keep aliv , without cant feel anyth ."
2,love chandel
1,alway ask `` fire ? '' never `` 's fire ? ''
1,link desccrript exist pleas updat http : //www.itsokaytobesmart.com/post//fun-with-feynman-fire-you-cant-help-but-smil
1,mind blown
